題	問題文	配点	正答	解説	選択肢			
問１１	民事保全事件の特色に関する次の記述のうち，誤っているものはどれか。	1	4		民事保全においては密行性が求められるが，事案によっては審尋や口頭弁論が開かれることもある。	民事保全は簡易迅速性が求められるため，債権者は被保全権利及び保全の必要性について疎明をするのみで足り，証明までは求められない。	民事保全の保全命令は，通常は債権者側に担保を立てさせるが，担保を立てさせずに発することもできる。	民事保全は本案訴訟に付随した手続なので，必ず本案訴訟を提起することになる。
第１２問	次のうち，民事保全事件の申立書の添付書類や疎明方法についての記述として，誤っているものはどれか。	1	2		不動産仮処分命令申立書には，目的不動産の登記があれば登記事項証明書を添付する必要がある。	不動産占有移転禁止仮処分命令申立事件では，占有者を明らかにするため，債務者が自然人の場合には，通常世帯全員の住民票の提出を求められる。	不動産仮差押命令申立書には，不動産の価額を証する書面として，通常，固定資産評価証明書を添付する必要がある。	債権仮差押命令申立事件では，不動産仮差押が不可能または困難なことの疎明として，通常，債務者住所地等の不動産登記事項証明書の提出を求められる。
第１３問	民事保全事件の担保の提供方法として，裁判所に申請をしても認められないものはどれか。	1	1		裁判所への現金の預託による担保の提供	債権者以外の第三者の供託による担保の提供	有価証券の供託による担保の提供	銀行との支払保証委託契約の締結による担保の提供
第１４問	民事保全の管轄に関する次の記述のうち，誤っているものはどれか。	1	4		本案を提起することができる裁判所であれば，地方裁判所のほか，簡易裁判所，家庭裁判所にも保全事件の管轄が生じる。	仮差押については，仮差押えの対象物の所在地を管轄する地方裁判所にも管轄が生じる。	仮処分については，本案の管轄裁判所のほか，係争物の所在地を管轄する地方裁判所にも管轄が生じる。	本案がすでに提起されている場合には，原則として本案の係属している裁判所の管轄になるが，本案が控訴審で高等裁判所に係属している場合は，第一審裁判所が管轄する。
第１５問	訴訟外の和解において同意による担保取消の申立てをする場合，相手方に代理人弁護士がついているとして，次のうち，相手方から受領する必要のない書面はどれか。	1	3		相手方本人から弁護士への担保取消の同意等を委任した委任状	弁護士が代理人として記名押印した担保取消の同意書	弁護士が代理人として記名押印した供託原因消滅証明申請書	弁護士が代理人として記名押印した担保取消決定に対する抗告権の放棄書
第１６問	保全命令を得たあと，債権者が本案訴訟を起こさない場合に，発令裁判所より債権者に一定期間内に本案訴訟を起こすよう求めることを債務者から申し立てる申立てを何というか。	1	2		権利行使催告申立	起訴命令申立	保全命令取消申立	保全異議申立
第１７問	次のうち，債務名義とならないものはどれか。	1	4		仮執行宣言付支払督促	給付条項を定めた家事調停調書	仮執行宣言が付いた未確定の判決	建物明渡の期限に遅れた場合，明渡しの強制執行を認諾する文言のある公正証書
第１８問	執行文付与に関する次の記述のうち，誤っているものはどれか。	1	2		１「被告が第１項の分割金の支払いを２回以上怠ったときは，原告に対して残額全額を直ちに支払う」という条項がある場合，支払いを２回以上怠ったことは債権者側で立証する必要がないので，単純執行文でよい。	建物明渡請求訴訟における和解調書に「被告は，第１項の立退料の支払いと引き換えに，原告に対して本件建物を明け渡す。」という条項がある場合，建物明渡しを求める強制執行には条件成就執行文が必要である。	債務名義成立後に相続によって当事者の権利義務が他者に承継された場合は，債権者の場合も債務者の場合も承継執行文の付与が必要となる。	既に執行文を得て強制執行を行っているが，新たな別の財産が発見され，強制執行が必要な場合は，再度の執行文付与を申し立てることができる。
第１９問	債務者への未払いの売掛金１００万円があった場合に，差押命令の送達を受けた第三債務者の対応として，適切とは言えないものはどれか。	1	2		支払日の前日に差押債権を８０万円に満つるまでとする差押命令が送達されたので，支払日に債務者に２０万円を支払い，８０万円を供託した。	支払日の前日に差押債権を８０万円に満つるまでとする差押命令が送達されたので，支払日には債務者に２０万円を，差押債権者に８０万円を支払った。	支払日の前日に差押債権を８０万円に満つるまでとする差押命令が送達されたので，債務者には支払いをせずに１００万円全額を供託した。	支払日の前日に差押債権を８０万円に満つるまでとする差押命令が送達され，支払日当日の支払前に別の債権者から１００万円に満つるまでの仮差押命令も届いたので，売掛金はどこにも支払いをせずに全額を供託した。
第２０問	担保不動産競売の申立てにおいて必要のない書類は次のうちどれか。	1	1		執行力ある債務名義の正本	不動産登記事項証明書	地図または公図	公課証明書
第２１問	民事執行に対する債務者側からの対応として誤っているものはどれか。	1	2		仮執行宣言付一審判決に基づく強制執行に対し，控訴した上で控訴にともなう強制執行停止申立てを行う。	担保不動産競売に対し，被担保債権についての請求異議の訴えを提起し，それにともなう強制執行停止申立てを行う。	執行官の執行処分に対し執行異議の申立てとともに執行停止の申立てを行う。	執行証書に基づく強制執行に対し，民事調停を申立て，それにともなう民事執行停止の申立てを行う。
第２２問	執行官による執行手続に関する次の記述のうち，正しいものはどれか。	1	1		建物の明渡しの強制執行において，債務者が不在であっても，第三者の立会人がいれば，執行官の権限で解錠技術者に鍵を開けさせて執行をすることができる。	動産執行では，生活に必要と判断される動産は差押が禁止されているが，現金があれば全て差押えができる。	建物明渡執行において，執行官が債務者に対して明渡しの催告をした後で，占有が移転した場合は，新たな占有者に対し，改めて明渡しの催告を行う必要がある。	建物収去土地明渡の強制執行は，収去命令を債務名義として，執行官が行う。
第２３問	次の戸籍の届出のうち，戸籍法上の届出の義務があるものはどれか。	1	3		協議離婚届	婚姻届	調停離婚届	養子縁組届
第２４問	相続関係を調査するのに必要な戸籍の説明として必ずしも適切でないものはどれか。	1	2		被相続人については，可能であれば，出生時から死亡するまでのすべての戸籍を取り寄せる。	被相続人に子がいれば，可能であれば，その子についても出生から現在までのすべての戸籍を取り寄せる。	被相続人の配偶者については，被相続人の戸籍における配偶者としての記載の他には，現在の戸籍があれば足りる。	被相続人の兄弟が相続人になる場合は，被相続人の両親について，出生時か少なくとも生殖年齢に達してから，死亡するまでのすべての戸籍を取り寄せる。
第２５問	現在戸籍についての次の記述のうち，誤っているものはどれか。	1	4		三代戸籍は禁じられているので，未婚の娘に子が生まれ出生届出がなされると，母と子の新たな戸籍が編製される。	戸籍がコンピュータ化された場合には，その前の戸籍は改製原戸籍となる。	婚姻により夫婦の戸籍が新たに編製される際は，夫婦のうち筆頭者となるものの氏で編製される。	離婚の届出の際に夫婦のどちらがその戸籍から除かれるかは，話し合いで選択することができる。
第２６問	不動産登記簿に関する次の記述のうち，誤っているものはどれか。	1	3		土地の所在・地番・地目・地積は登記簿の表題部に記載されている。	建物の新築年月日が明らかな場合には，登記簿の表題部に記載されている。	地上権に関する登記事項は，登記簿の甲区に記載されている。	担保権に関する登記事項は，登記簿の乙区に記載されている。
第２７問	不動産登記関係の証明書等に関する次の記述のうち，誤っているものはどれか。	1	2		不動産登記事項証明書は誰でも申請できる。	分筆されてできた土地の前の登記事項を調べる場合には，その地番の閉鎖登記事項証明書または閉鎖登記簿謄本を請求する。	コンピュータ化される前の登記事項を調べるためには，閉鎖された不動産登記簿謄本を申請する。	不動産登記申請書及び附属書類については，保存期間内であれば利害関係を明らかにして閲覧申請することができる。
第２８問	会社登記に関する次の記述のうち，誤っているものはどれか。	1	4		同一法務局の管轄区域内であっても，本店が異なれば同一商号の会社でも登記できる。	現在の有限会社は，商号は有限会社となっていても会社法上は株式会社として扱われる。	会社の商号はある程度自由に決められるが，会社の種類は必ず入れなくてはならない。	会社設立の年月日は，発起人が会社設立を決めた日である。
第２９問	商業登記に関する次の記述のうち，誤っているものはどれか。	1	3		登記事項に変更があったら変更登記をしなければならない。	登記事項に変更があった場合に登記をしないと，その変更を善意の第三者に対抗できない場合がある。	会社の解散登記をするとその会社の登記簿は閉鎖になる。	外国会社も日本で登記することができる。
第３０問	以下の各記述のうち，それだけでは家賃の弁済供託をする理由にならないものはどれか。ただし，契約上の家賃支払場所は家主の住所地とする。	1	1		支払日に家賃全額を用意できなかったので，とりあえず半額を持参したが，家主に受け取ってもらえなかった。	支払日に家賃を持参して家主を訪れたが，前もって家主が要求していた増額家賃でなければ受け取らないと言われて拒否された。	建物の明渡しを請求され，係争中で，予め賃料の受領を拒否された。	家主が死亡して相続人代表と称する者から支払先変更の連絡があったが，資料が付いていないので相続関係が分からない。
第３１問	家事審判事件に関する次の記述のうち，誤っているものはどれか。	1	4		家事審判事件は，別表第一に定める事件と別表第二に定める事件がある。	別表第二の審判事件は，調停手続が先行することが多く，調停が不成立になると特別の場合を除き審判手続に移行する。	家事審判に対する不服申立ては，即時抗告によって行う。	家事審判手続では，電話会議やテレビ会議システムを利用することはできない。
第３２問	家事事件に関する次の記述のうち，誤っているものはどれか。	1	4		別表第一事件は，審判のみで調停が行われることはない。	離婚事件は，訴訟提起の前に家事調停を申立てするのが原則となっている。	婚姻費用分担調停事件は，調停が不成立になると，審判に移行する。	親子関係不存在確認の調停事件は，当事者間で合意に達すれば調停を成立させ終了する。
第３３問	別表第二家事審判事件の特徴に関する次の記述のうち，誤っているものはどれか。	1	3		家庭裁判所は，審判をする場合は，原則として当事者の陳述を聴くことになっている。	当事者又は利害関係を疎明した第三者が，記録の閲覧若しくは謄写を請求する場合には，家庭裁判所の許可を得る必要がある。	申立人が提出した申立書は相手方に写しを送付する必要はない。	家庭裁判所は，職権で事実の調査をし，証拠調べをすることができる。
第３４問	人事訴訟に関する次の記述のうち，誤っているものはどれか。	1	1		人事訴訟は，当事者の合意があれば，本来の管轄裁判所以外の家庭裁判所で行うこともできる。	人事訴訟は，訴えを起こす前に原則としてまず調停を行う必要がある。	人事訴訟では，離婚・離縁事件を除き，和解による解決を図ることができない。	人事訴訟では，参与員が審理に立ち会い，意見を述べることがある。
第３５問	調停を行わずにいきなり離婚訴訟を提起しても認められることがあるが，次のうちその事由に該当しないと思われるものはどれか。	1	3		被告が行方不明の場合	被告が外国に居住していて，調停に出頭する見込みがない場合	被告が話し合いを拒否していて，調停に出頭する見込みがない場合	被告が精神障害により調停行為能力を欠く場合
第３６問	離婚訴訟の訴状についての次の記述のうち誤っているものはどれか。	1	1		離婚にともなう財産分与を請求する場合には，仮執行宣言を求めることができる。	養育費の請求は，離婚判決確定後の分のみ求めることができる。	当事者の表示としては，住所のほかに本籍も記載する。	添付書類として戸籍謄本（戸籍事項証明書）を提出する必要がある。
第３７問	判決離婚の戸籍の届出に際し，提出する書類の組み合わせとして も適切なものはどれか。	1	4		判決正本と判決送達証明書	判決謄本と判決送達証明書	判決正本と判決確定証明書	判決謄本と判決確定証明書
第３８問	年金分割についての次の記述のうち，誤っているものはどれか。	1	1		年金分割は，離婚時に配偶者の年金受給額を分割する制度である。	年金分割について当事者間で合意ができれば，当事者双方が年金事務所に出向き手続をするほか，公正証書を作成し，それを添付して請求する方法もある。	３号分割は，施行日以降の厚生年金の標準報酬を当然に２分の１ずつ分割する制度で，対象期間の分割については家庭裁判所が関与する必要はない。	年金分割の請求は離婚後２年以内にする必要があるが，家庭裁判所に申立てをしていれば事件の進行中に２年が経過してしまってもかまわない。
第３９問	被相続人Ａが死亡し，戸籍等の調査の結果，下記のような相続関係であることが判明した。	1	3		Ｂから遺産分割の調停申立てを依頼されたが相手方の組み合わせとして正しいものはどれか。	ただし，相続放棄，相続欠格，推定相続人廃除等はないものとする。	Ｅ，Ｈ	Ｄ，Ｅ，Ｈ
第４０問	前問の例で，ＥとＨがＡと養子縁組をしている場合のＨの法定相続分はどれか。	1	3		３分の１	４分の１	１６分の３	８分の１
第４１問	相続放棄に関する次の記述のうち，誤っているものはどれか。	1	2		子どもが相続放棄をしても，孫は代襲相続しない。	被相続人が死亡したことを知ってから３か月を経過した後に行なわれた相続放棄は家庭裁判所に受理してもらえない。	相続放棄は，被相続人の住所地を管轄する家庭裁判所に申述する。	遺産の一部を処分した相続人は，相続放棄をすることができない。
第４２問	相続に関する次の記述のうち，誤っているものはどれか。	1	1		養子となった子は，実親が死亡した場合にその相続人とならない。	胎児は生きて生まれた場合のみ相続人となる。	内縁の妻には内縁の夫が死亡した場合の相続権がない。	現行法では非嫡出子の相続分は嫡出子と同等である。
第４３問	次のうち自筆証書遺言として無効にはならないものはどれか。	1	4		本人の依頼で代筆により作成したもの。	本文をワープロで作成し，自筆で署名したもの。	日付が平成〇〇年〇月吉日となっているもの。	押印が印鑑ではなく拇印であるもの。
第４４問	次の相続人の行為のうち，単純承認をしたとみなされないものはどれか。	1	3		相続財産の全部又は一部を処分したとき	放棄も限定承認もせず相続開始を知ってから３か月を経過したとき	管理のために相続財産である家屋で居住を始めたとき	相続財産の全部又は一部を隠匿していたとき
第４５問	成年後見に関する登記についての次の記述のうち，誤っているものはどれか。	1	1		成年後見等の「登記されていないことの証明書」は，通常誰でも申請することができる。	成年後見の登記は，通常，家庭裁判所書記官の嘱託によって行われる。	任意後見契約に関する登記は，通常，公証人の嘱託によって行われる。	成年後見の「終了の登記」は，嘱託によるほかは，親族等の利害関係人も申請できるが，通常は成年後見人が申請するのが一般的である。
第４６問	自己破産の手続につき，次の記述のうち，誤っているものはどれか。	1	1		浪費等の免責不許可事由がある者は，破産手続開始決定を受けることができない。	債務者が自然人の場合，管轄は原則として住所地を管轄する地方裁判所になる。	破産申立ての手数料は１０００円であるが，自然人の場合には，通常，免責許可も申し立てるので１５００円となる。	破産手続開始により，債権者が強制執行を行っていた場合には，その効力を失う。
第４７問	次のうち，先に片方の破産事件が係属していても，同じ地方裁判所に破産手続開始の申立てができるとは限らないものはどれか。	1	2		夫婦	親と子	相互に連帯債務者の関係にある個人	会社と会社の代表者個人
第４８問	破産手続中の破産者の立場に関する次の記述のうち，誤っているものはどれか。	1	2		破産者は，資格について制限を受ける。	破産者は，被選挙権についての制限を受ける。	破産者は居住にかかる制限を受ける。	破産者は通信の秘密にかかる保護を受けられないことがある。
第４９問	同時廃止に関する次の記述のうち，誤っているものはどれか。	1	4		同時廃止は破産手続開始と同時に手続きを廃止することである。	破産者に換価すべき財産が全くない場合でも，同時廃止にはならないこともある。	同時廃止は，破産財団をもって破産手続の費用を支弁するのに不足する場合の手続きである。	破産管財人の意見を聴いた上で同時廃止とすることもある。
第５０問	破産管財人の権限に関する次の記述のうち，誤っているものはどれか。	1	1		破産管財人は，破産者を当事者とする破産財団に関する訴訟のすべてを受け継ぐ。	破産管財人は，責任財産から失われた財産を破産財団に回復するために，否認権を行使することができる。	破産管財人は，破産財団に属する財産の換価・回収をすることができる。	破産管財人は，裁判所の許可を得て破産財団に属する不動産を放棄することができる。
第５１問	財団債権と破産債権に関する次の記述のうち，誤っているものはどれか。	1	3		財団債権とは，破産債権に先立って随時弁済を受けることのできる債権である。	破産債権には優先的破産債権，一般破産債権，劣後的破産債権がある。	破産手続開始時に納期限から１年未満の租税は優先的破産債権になる。	破産手続開始前３か月間の使用人の給料は財団債権である。
第５２問	個人再生手続についての次の記述のうち，誤っているものはどれか。	1	4		個人再生手続では， 低弁済額を 長５年間で支払うことになる。	給与所得者であっても，給与所得者等再生でなく，小規模個人再生を申し立ててもよい。	破産手続で免責不許可になる事情がある場合にも，通常，個人再生手続は可能である。	小規模個人再生手続で基準債権総額が１８００万円，清算価値が２００万円の場合， 低弁済額は２００万円である。
第５３問	次のうち，個人再生手続において住宅資金特別条項が利用可能なのはどれか。	1	3		住宅に，住宅ローン債権以外の事業資金借入の抵当権が設定されている。	住宅ローン債権につき，保証会社が代位弁済をした後，８か月が経過している。	住宅の床面積の３分の２は自己の居住用に使用し，３分の１を事業用に使用している。	住宅と共同担保になっている敷地に住宅ローン債権以外の担保権が住宅ローンを担保する抵当権に後れて設定されている。
第５４問	刑事事件についての次の記述のうち誤っているものはどれか。	1	2		刑事事件において罪となる行為は，あらかじめ刑法その他の法律に定められているものに限られる。	罪を犯したと疑われている者は逮捕されても被疑者であり，検察官に送致（送検）されてはじめて被告人と呼ばれる。	弁護士は，被疑者段階も被告人になってからも代理人ではなく弁護人と呼ばれる。	刑事事件で被告人が弁護人を依頼する権利は憲法で保障されている。
第５５問	次の刑事事件記録の閲覧・謄写につき，検察庁に請求するものではないものはどれか。	1	2		公判開始前における捜査記録	公判開始後における弁護人が同意した捜査記録	判決確定後の刑事事件記録	不起訴記録
第５６問	保釈手続に関する次の記述のうち，誤っているものはどれか。	1	3		保釈請求ができるのは起訴後，判決が確定するまでの間である。	保釈請求書は，起訴された裁判所に提出する。	保釈請求を認めるか否かは，第１回公判前でも公判担当裁判官が決定する。	保釈保証金が用意できない場合には，弁護士協同組合の保釈保証書発行事業を利用できる場合がある。
第５７問	刑事事件の控訴についての次の記述のうち，正しいものはどれか。	1	1		控訴期間は，判決言い渡し日から進行し，１４日（初日不参入）である。	簡易裁判所の判決に対しては地方裁判所に控訴する。	控訴する際には控訴申立書を控訴裁判所に提出する。	控訴趣意書の提出期限は定められるが，期限より遅れても直ちに問題とはならない。
第５８問	少年事件の特色に関する次の記述のうち，誤っているものはどれか。	1	1		家庭裁判所の審判には通常検察官も出席する。	少年事件の審判は非公開の審判廷で行われる。	少年事件では，審判を開始せずに手続を終了することがある。	家庭裁判所が少年事件を受理すると裁判官は家庭裁判所調査官に調査を命じる。
第５９問	弁護士が職務を行い得ない事件に関する次の記述のうち，誤っているものはどれか。	1	3		現在受任している事件の相手方からの依頼による他の事件は，受任している事件の依頼者が同意した場合は受任できる。	弁護士が調停委員として職務上取り扱った事件は，その事件の相手方の同意があっても受任できない。	終了した事件の相手方から頼まれた場合は，全く関連のない事件であっても依頼を受けることはできない。	３年前に法律相談を受けた事案について，相談者の相手方からの事件依頼を受けることはできない。
第６０問	次のうち，弁護士職務基本規程には特に定められていないものはどれか。	1	4		事務職員の指導及び監督	職務を行い得ない事件	預り金の保管	職務上請求用紙の管理
								
