題	問題文	配点	正答	解説	選択肢			
第１６問	民事保全手続きで保全執行完了後に相手方と和解がなされ，相手方の同意による担保取消しの申立てをする場合の手続きとして，誤っているものはどれか。	1	2		訴訟外の和解で相手方本人から同意書等の必要書類を受領する場合は，印鑑証明書を添付し，その登録印を押印してもらう必要がある。	相手方代理人の弁護士が同意書等の必要書類に記名・押印する場合には，代理人の印鑑証明書は不要であるが，相手方本人から代理人への担保取消しの同意等に関する委任状には登録印を押印し，印鑑証明書を添付する必要がある。	通常相手方からは，担保取消しの同意書，即時抗告権の放棄書，担保取消決定正本の受書をもらい，担保取消申立書に添付する。	本案訴訟において和解が成立し，和解調書の和解条項に担保取消しについての同意と抗告権放棄の記載があれば，相手方から同意書等を受領しなくても，その調書の謄本等を添付し，担保取消しの申立てができる。
第１７問	民事執行における次の手続きのうち，強制執行に分類されないものはどれか。	1	1		担保権の実行による不動産競売	執行証書を債務名義とする動産執行	建物収去土地明渡請求事件の和解調書に基づく代替執行	家事調停調書に基づく間接強制
第１８問	次のうち通常執行文ではなく，事実到来執行文の付与が必要なものはどれか。	1	2		「原告が第１項の金員を支払うのと引き換えに被告は別紙物件目録記載の不動産を明け渡す」という和解条項についての執行文。	「被告の父甲が死亡したときは，１年以内に被告は原告に対して本件建物を明け渡す。」という和解条項についての執行文。	「被告が第３項の分割金の支払いを２回以上怠った時は，被告は期限の利益を喪失し，原告に対し残額全額を直ちに支払う。」という和解条項についての執行文。	「被告は原告に対し，金○○○万円を支払え」という主文に仮執行宣言が付された場合の執行文。
第１９問	地方裁判所での一審判決の確定後，債務者が転居している場合の債権差押命令申立ての管轄として正しいものはどれか。	1	1		債務者の転居後の現住所を管轄する地方裁判所	債務名義である判決が言い渡された地方裁判所	債務名義である判決に表示された債務者の住所を管轄する地方裁判所	第三債務者の会社の本店所在地を管轄する地方裁判所
第２０問	債権執行における差押債権についての次の説明のうち，正しいものはどれか。	1	3		差押債権は債権者の債務者に対する債権	差押債権は債権者の第三債務者に対する債権	差押債権は債務者の第三債務者に対する債権	差押債権は第三債務者の債務者に対する債権
第２１問	不動産競売におけるいわゆる「３点セット」のうち，評価書は評価人が作成するが，現況調査報告書と物件明細書の作成者の組合せとして正しいものはどれか。	1	1		現況調査報告書は執行官が作成し，物件明細書は裁判所書記官が作成する。	現況調査報告書は裁判所書記官が作成し，物件明細書は執行官が作成する。	現況調査報告書，物件明細書とも執行官が作成する。	現況調査報告書，物件明細書とも裁判所書記官が作成する。
第２２問	次のうち，執行官が行う執行手続きではないものはどれか。	1	1		財産開示	建物明渡強制執行	動産引渡強制執行	不動産競売における開札
第２３問	次のＡ～Ｄの戸籍届出のうち，創設的届出の組合せとして正しいものはどれか。	1	4		Ａ 出生届 Ｂ 婚姻届 Ｃ 判決による離婚届 Ｄ 養子縁組届	Ａ Ｂ	Ａ Ｄ	Ｂ Ｃ
第２４問	弁護士が戸籍謄本等を職務上請求するにあたり，請求用紙に依頼者名を記載する必要があるものはどれか。	1	3		未成年者を被告とする損害賠償請求訴訟の代理業務の委任を受け，相手方の親権者を明らかにするために戸籍謄本を請求する場合。	確定判決を債務名義として強制執行を準備していたところ，判決確定後に婚姻により被告の氏が変更になっているため，被告の戸籍謄本を請求する場合。	依頼者を相続人とする検認済みの遺言書に基づき，相続を原因とした所有権移転登記を申請するために被相続人及び相続人の戸籍謄本等を請求する場合。	訴訟係属中に原告が死亡し，その相続人からの依頼により承継手続きのために戸籍謄本等を請求する場合。
第２５問	次のうち戸籍の届出の不受理申し出ができないものはどれか。	1	1		転籍届	離婚届	認知届	婚姻届
第２６問	次のうち登記ができないものはどれか。	1	1		庭石	土蔵	立木	パワーシャベル
第２７問	不動産の所有権移転登記申請に関する記述のうち，誤っているものはどれか。	1	4		登記識別情報又は登記済証が添付できなくても，売買を原因とする所有権移転登記申請は可能である。	相続を原因とする所有権移転登記申請は，新たに所有者となる相続人のみで申請できる。	遺贈を原因とする所有権移転登記申請は，受遺者単独ではできない。	所有権移転登記申請時に，登記義務者の登記簿上の住所が印鑑証明書の住所と一致していなくても，つながりの分かる証明書を添付すればそのまま登記申請は可能である。
第２８問	次の登記申請に関する記述のうち誤っているものはどれか。	1	2		家を新築した場合は，所有者には登記申請の義務がある。	不動産を購入した人には登記申請義務がある。	株式会社の監査役が交代した場合，代表者に登記申請義務がある。	新たに有限会社の設立登記を申請することはできない。
第２９問	会社登記に関する次の記述のうち，正しいものはどれか。	1	2		本店を管轄する法務局内に，既に同一商号の会社がある場合は，その登記所では登記できない。	有限会社は特に申請しなくても自動的に株式会社化がなされているが，商号は変わらず有限会社のままになっている。	支店があれば支店を管轄する登記所でも登記する必要があり，本店を管轄する登記所と同じ内容の登記がなされる。	履歴事項証明書の記載事項は，会社の設立からのすべての事項が記載されている。
第３０問	供託金払渡請求手続きに関する次の記述のうち，正しいものはどれか。	1	1		自然人が裁判所の供託原因が消滅した証明書を添付して払渡請求する場合は，印鑑証明書の添付は必要ない。	払渡請求を郵送で行うことはできない。	代理人が払渡請求する場合，代理人の印鑑証明書が必要となる。	供託金払渡請求には原則として供託書正本の添付が必要である。
第３１問	家事事件に関する次の記述のうち，誤っているものはどれか。	1	1		家事調停事件は，原則として申立書の写しが相手方に送付される。	家事審判に不服のある場合には，高等裁判所に即時抗告することができる。	家事審判事件には別表第一審判事件と別表第二審判事件がある。	家事調停事件には，一般調停事件，別表第一調停事件，別表第二調停事件の３種類がある。
第３２問	家事事件の手続代理人に関する次の記述のうち誤っているものはどれか。	1	3		家事事件の手続代理人の代理権については民事訴訟法の規定が準用される。	家事事件の手続代理人は，代理権限を証明する書面を裁判所に提出する必要がある。	家事事件の手続代理人が家事審判及び家事調停の申立てを取下げする場合には，申立人の特別委任が必要となる。	家事調停事件では，手続代理人が選任されていても，原則として当事者本人も調停期日に出頭する必要がある。
第３３問	家事審判事件，家事調停事件の当事者による記録の閲覧・謄写請求に関する次の記述のうち，誤っているものはどれか。	1	4		家事審判事件は，特別に定められた制限事由がない限り，原則として裁判所は閲覧・謄写を許可しなければならない。	家事調停事件は，裁判所が相当と認めた場合のみ閲覧・謄写が許可される。	家事調停事件も家事審判事件も，当事者から非開示の希望に関する申し出がされた部分は閲覧・謄写が許可されることはない。	家事審判事件の記録の閲覧・謄写の許可申立てが却下された場合には，申立人は即時抗告をすることができる。
第３４問	人事訴訟に関する次の記述のうち，誤っているものはどれか。	1	3		人事訴訟は裁判公開の原則を適用せずに非公開とする場合がある。	調停可能な人事訴訟は，調停前置が原則となっている。	離婚及び離縁以外の人事訴訟事件は，和解で解決することはできない。	人事訴訟も民事訴訟法の規定が準用され，弁論主義が貫かれている。
第３５問	離婚訴訟の管轄に関する次の記述のうち， も適切なものはどれか。	1	4		被告の住所地を管轄する家庭裁判所の専属管轄となる。	原則として当事者双方の住所地を管轄する家庭裁判所の専属管轄であるが，事情によっては 後の同居地を管轄する家庭裁判所でも認められることがある。	原則として当事者双方の住所地を管轄する家庭裁判所の管轄であるが，事情によっては離婚の調停を行った家庭裁判所でも認められることがある。	原則として当事者双方の住所地を管轄する家庭裁判所の管轄であるが，当事者の合意があれば他の家庭裁判所にも合意管轄が生じる。
第３６問	原告が被告に対し，離婚と２００万円の慰謝料請求，５００万円の財産分与を求めた訴訟につき，訴額と貼用印紙の額として正しい記述はどれか。ただし離婚調停不成立の証明書を添付して，調停の費用を控除できるものとする。	1	2		訴額は７００万円となり，その印紙額から１２００円を控除する。	訴額は５００万円となり，その印紙額から１２００円を控除する。	訴額は２００万円となり，その印紙額から１２００円を控除する。	訴額は２００万円となり，その印紙額となる。
第３７問	離婚後の子どもとの面会交流について，次のうち正しいものはどれか。	1	2		面会交流権は，子どもが親に対して面会等を求める権利で，具体的に法律で定められている。	面会交流の具体的な方法等について，父母の話し合いがまとまらない場合には，家庭裁判所に調停又は審判を申し立てることができる。	家庭裁判所の手続きで一度決まった面会交流についての取り決めは，変更や制限をすることはできない。	面会交流は，子どもの福祉や利益を 優先で考える必要があるので，強制執行はできないが，家庭裁判所から履行勧告をしてもらうことはできる。
第３８問	離婚後の氏に関する次の記述のうち，誤っているものはどれか。	1	3		離婚すると，婚姻の際に氏を改めた者は，原則として婚姻前の氏に復する。	離婚の際に称していた氏を称するためには，離婚届の提出と同時にその旨の届出をする必要がある。	離婚の届出をして，戸籍の筆頭者でない方の親が親権者となった場合でも，子の戸籍の氏は変わらない。	離婚後に子の氏を改める場合には，家庭裁判所に「子の氏変更の申立て」をする必要がある。
第３９問	被相続人Ａが平成２７年に死亡した。Ａの 初の妻Ｂは平成９年に死亡しており，Ｂとの間には子Ｃ及びＤがいて二人とも存命である。Ａは平成１５年にＥと再婚したが，ＥはＡの死後平成２８年に死亡している。ＡとＥとの間の子はなく，ＡはＥの子であるＦと平成１５年に養子縁組をしている。Ｆは平成２５年に死亡しており，平成１４年に出生のＧと，平成１６年出生のＨの二人の子がいる。これ以外の関係者は考慮しないでよいものとすると，Ａの死亡時の相続人の組み合わせとして正しいものはどれか。	1	1		Ｃ，Ｄ，Ｅ，Ｇ，Ｈ	Ｃ，Ｄ，Ｅ，Ｇ	Ｃ，Ｄ，Ｅ，Ｈ	Ｃ，Ｄ，Ｇ，Ｈ
第４０問	相続に関する次の記述のうち，誤っているものはどれか。	1	2		兄弟姉妹の相続分はすべて同じである。	胎児は相続についてはすでに生まれたものとみなされる。	内縁の妻には相続権がない。	特別養子となった子は，実親が死亡した場合にその相続人にならない。
第４１問	平成２８年の１２月に，相続預金の承継について，「相続開始と同時に当然に相続分に応じて分割されることはなく，遺産分割の対象となる」旨の 高裁決定がなされたが，これによる実務への影響として，次のうち も適切な記述はどれか。	1	3		相続預金は遺産分割の対象なので遺言により一人の相続人に相続させることはできなくなった。	相続預金は，従前遺産分割前であっても，各相続人が個別に金融機関に対し，法定相続分の請求をすることが可能であったが，それが難しくなった。	従前相続預金を遺産分割の対象とすることはできなかったが，それが可能になった。	相続預金の払い戻しに相続人全員の同意があっても，遺産分割前には払戻請求ができなくなった。
第４２問	公正証書遺言に関する次の記述のうち，誤っているものはどれか。	1	3		遺言執行者を指定しなくても公正証書遺言を作成することができる。	自筆証書遺言は，全文自分で自書しなければならないが，公正証書遺言の場合は，遺言者が署名することができなくなった場合でも，公証人がその事由を付記することで遺言者の署名に代えることができる。	遺言公正証書作成には，証人２名の立会が必要であるが，遺言執行者に指定されている者は，証人になることができない。	昭和６４年１月１日以降に作成された公正証書遺言であれば，日本公証人連合会においてデータベース化されているので，公証役場を通じて遺言書が作成されているかどうかを調べることができる。
第４３問	相続の承認・放棄・限定承認についての次の記述のうち，誤っているものはどれか。	1	2		相続財産の一部についてのみの承認・放棄はできない。	相続放棄は相続人が複数いても単独ですることができる。	熟慮期間の伸長の申立ては，相続人が複数いても共同相続人のうち一人がすれば全員に有効である。	限定承認は相続人が複数いれば，共同相続人全員で行う必要がある。
第４４問	成年後見等の申立てと開始に関する次の記述のうち，適切ではないものはどれか。	1	1		本人以外の申立ての場合，成年後見，保佐の開始には本人の同意は必要ないが，補助の開始には本人の同意が必要となる。	成年後見等の申立権者は，本人，配偶者及び４親等内の親族に限られる。	成年後見等の申立ては，後見等開始の審判前であっても裁判所の許可がないと取り下げすることはできない。	成年後見等の申立ての管轄は，原則として本人の住所地を管轄する家庭裁判所となる。
第４５問	成年後見人が裁判所の許可を得なければ，行うことができないものは次のうちどれか。	1	4		居住用不動産の処分	成年被後見人宛ての郵便物の開披	成年被後見人の預金の引き出し	成年被後見人の債務の支払い
第４６問	債務整理についての次の記述のうち，誤っているものはどれか。	1	3		弁護士が，債務整理の受任通知を貸金業者に送付することにより，取立行為の禁止や取引履歴の開示請求等の効果がある。	自然人の破産は，債務を整理して， 終的には免責を得ることを目的としている。	任意整理とは，裁判上の手続きではなく，債権者との話し合いで債務の整理を行う手続きである。	法人の破産は，債務を整理して会社を存続させることを目的としている。
第４７問	次のうち，破産手続開始の申立ての管轄裁判所の説明として誤っているものはどれか。	1	4		自然人の破産は，原則として債務者の住所地を管轄する地方裁判所の管轄となる。	営業者であるときは，原則としてその主たる営業所の所在地を管轄する地方裁判所の管轄になる。	債権者の数が１０００名以上の場合は，東京地方裁判所又は大阪地方裁判所のどちらかの管轄となる。	会社の代表者は，会社の破産事件が係属している地方裁判所にも申し立てができる。
第４８問	破産手続きについての次の記述のうち，正しいものはどれか。	1	3		浪費等の免責不許可事由がある者は免責を受けることができない。	債務者が自然人の場合，破産手続開始の申立てができるのは債務者本人のみである。	法人破産の場合でも，全く財産がなければ原則として同時廃止になる。	債務者が法人とその代表者で，債務の中に連帯保証債務がある場合，利益相反のおそれがあることになるが，依頼者が同意していれば一緒に代理して破産申立てをして差し支えない。
第４９問	破産手続開始決定による破産者への制限に関する次の記述のうち，誤っているものはどれか。	1	1		破産者は居住にかかる制限を受け，転居や旅行で居住地を離れる場合には裁判所の許可が必要となる。	破産者は通信の秘密にかかる保護を受けられないことがあり，破産者宛ての郵便物は，一定の期間，原則として破産管財人に転送される。	破産者は，資格について制限を受けることがあり，破産法に定める職業や業務を行えなくなる。	破産者は，市区町村役場にある「破産者名簿」に記載される。
第５０問	財団債権と破産債権に関する次の記述のうち，誤っているものはどれか。	1	1		財団債権は，配当手続きにおいて も優先して弁済されることになる。	破産債権には優先的破産債権，一般破産債権，劣後的破産債権がある。	財団債権は，破産債権に先だって弁済を受けることのできる債権である。	破産手続開始前３か月間の使用人の給料請求権は財団債権になる。
第５１問	破産法に関して，次のうち，非免責債権でないものはどれか。	1	2		破産者に対する確定判決に基づく貸金債権	租税等に関する請求権	養育費に関する請求権	雇用関係に基づいて生じた使用人の請求権
第５２問	個人再生手続きについての次の記述のうち，誤っているものはどれか。	1	3		個人再生手続きでは， 低弁済額を 長５年間で支払うことになる。	破産手続きで免責不許可になるような事情がある場合には，個人再生手続きはできない。	給与所得者であっても，給与所得者等再生でなく，小規模個人再生を申し立ててもよい。	不動産賃料収入を得ている者であっても，給与所得者等再生手続きの利用は可能である。
第５３問	小規模個人再生における再生債権総額が２０００万円で，清算価値が１５０万円の場合の低弁済額は次のうちどれか。	1	4		１５０万円	２００万円	３００万円	４００万円
第５４問	民事事件と刑事事件について，次の説明のうち正しいものはどれか。	1	2		民事事件でも刑事事件でも，当事者は自由に証拠を提出し証拠調べを請求できる。	民事事件の控訴理由書も，刑事事件の控訴趣意書も，提出期限までに提出しないと控訴が棄却又は却下される。	民事事件でも刑事事件でも上告状及び上告申立書の宛名は必ず 高裁判所になる。	民事事件では，判決正本を受領した日から２週間以内に上訴する必要があるが，刑事事件では，判決言い渡しの日から２週間以内に上訴する必要がある。
第５５問	保釈請求手続きについての次の記述のうち誤っているものはどれか。	1	1		被疑者段階では保釈請求することができない。	保釈の許可・不許可は，原則として公判担当の裁判官が行う。	保釈請求の際には，身元引受人による「身柄引受書」を提出する。	保釈保証金が準備できない場合，全国弁護士協同組合連合会による保証書の発行が可能であれば，それで代えることができる。
第５６問	起訴前の段階における弁護人選任届の提出と勾留状謄本の請求に関する次の記述のうち，正しいものはどれか。	1	4		弁護人選任届は検察庁に提出し，勾留状謄本は裁判所に請求する。	どちらも裁判所に提出，請求する。	どちらも検察庁に提出，請求する。	弁護人選任届は裁判所に提出し，勾留状謄本は検察庁に請求する。
第５７問	刑事事件の判決に関する次の記述のうち，正しいものはどれか。	1	1		刑事事件の判決は，判決書原本に基づいて言い渡される必要がある。	判決謄本は，職権で被告人又は弁護人に送達される。	判決言渡日には，被告人が出頭しなくてもかまわない。	執行猶予つきの判決が言い渡された場合は，保釈保証金はすぐに取戻請求できる。
第５８問	少年事件の付添人に関する次の記述のうち，誤っているものはどれか。	1	3		弁護士以外の者を，付添人に選任することはできない。	付添人は，少年事件の法律記録，社会記録を閲覧することができる。	捜査段階では，弁護人選任届を取調中の捜査機関に提出する。	家庭裁判所送致後は付添人選任届を提出する必要がある。
第５９問	弁護士倫理に関する次の記述のうち，誤っているものはどれか。	1	4		弁護士は，受任している事件に関し，相手方から利益を受けてはならない。	弁護士は，品位を損なうような広告や宣伝を行ってはならない。	非弁提携の禁止というのは，弁護士でない者に対する規制の規定である。	弁護士は，国選弁護人に選任された事件の被告人や家族に，私選弁護人に選任するよう働きかけてはならない。
第６０問	弁護士の戸籍等の職務上請求及び請求用紙の管理につき，特に問題のない行為はどれか。	1	4		職務上請求により取り寄せた戸籍等を他の目的で使用すること。	同一事務所内の他の弁護士の請求用紙を使用すること。	職務上請求により取り寄せた相手方の戸籍謄本等を依頼者に渡すこと。	事務職員に指示して職務上請求用紙への記入と郵送をさせること。
								
