題	問題文	配点	正答	解説	選択肢			
第１１問	民事保全事件に関する次の記述のうち，誤っているものはどれか。	1	2		民事保全事件は，通常相手方に知らせることなく決定がなされることが多いが，事案によっては，審尋や口頭弁論が行われることもある。	民事保全は簡易迅速性が求められるため，債権者が被保全権利及び保全の必要性についての証明をすることにより保全命令が発せられる。	民事保全の保全命令は，通常は債権者に担保を立てさせて発するが，担保を立てさせずに発することもできる。	民事保全事件は，主に将来の強制執行を可能にするための執行保全を目的として行われることが多い。
第１２問	不動産の所有権移転登記請求権に基づき処分禁止の仮処分を行った後，他の第三者を権利者とする所有権移転登記申請がなされた場合の仮処分の効果に関する次の記述のうち， も適切なものはどれか。	1	4		処分禁止の仮処分登記後になされた所有権移転登記申請は却下される。	処分禁止の仮処分登記後も所有権移転登記はなされるが，本案訴訟で債権者が勝訴すると，仮処分後になされた登記の効力がなくなるので登記官の職権で抹消される。	処分禁止の仮処分登記後も所有権移転登記はなされるが，債権者が本案訴訟で勝訴した場合には，債権者はその判決に登記簿上の現所有者に対する承継執行文を得て，その現所有者を義務者として単独で所有権移転登記申請をすることができる。	処分禁止の仮処分登記後も所有権移転登記はなされるが，債権者が本案訴訟で勝訴した場合には，その判決に基づく所有権移転登記申請と合わせて仮処分後になされた所有権移転登記の抹消登記申請を単独ですることができる。
第１３問	次のうち，債権仮差押申立事件において行われない手続きはどれか。	1	1		執行官への執行申立	第三債務者への決定正本の送達	第三債務書に対する陳述催告の申立	債務者への決定正本の送達
第１４問	債権仮差押申立事件において，裁判所から７日以内に４０万円の担保を供託により立てることを命じられた。担保の提供方法の記述として正しいものはどれか。	1	2		債権者や代理人の都合の良い法務局で担保を供託することができる。	許可を得れば債権者以外の者が担保を供託することができる。	７日間の期限内に担保が準備できない場合，期間延長を申請することは認められない。	担保の金額が決まれば，供託者の都合で現金か有価証券でどちらで供託してもよい。
第１５問	不動産仮差押の登記の抹消に関する次の記述のうち，正しいものはどれか。	1	1		債権者が仮差押を取り下げた場合には，本案訴訟完結前であっても，裁判所書記官の登記嘱託により仮差押登記を抹消される。	債務者が本案で勝訴し，その判決が確定した場合は，債務者の単独で直接法務局に抹消登記申請することができる。	債務者が仮差押解放金を供託した場合には，債務者はその供託書を添付して直接法務局に抹消登記申請することができる。	本案訴訟で債権者の勝訴判決が確定し，債務者が債務を弁済した場合でも，債権者が仮差押を取り下げないかぎり仮差押の登記を抹消する方法はない。
第１６問	債権仮差押後，本案訴訟を提起する前に債務者から請求債権全額の支払があったので，仮差押を取り下げた。この場合の担保の取り戻しの手続きの記述として も適切なものはどれか。	1	3		請求債権全額の弁済を受けたので，勝訴判決確定と同じように担保提供事由の消滅による担保取消の申立てができる。	本案訴訟を提起していないので，債務者の同意を得ても担保取消申立てはできない。	本案提起前に仮差押を取り下げているので，権利行使催告による担保取消の申立てができる。	債務者から任意に支払を受け，仮差押も取り下げたので，債務者に損害が発生する余地はない。したがって，簡易な担保取戻しの手続きにより担保を取り戻せる。
第１７問	民事執行における次の手続きのうち，強制執行でないものはどれか。	1	1		共有物分割の判決に基づく不動産の形式競売	金銭の支払いおよび執行認諾文言のある公正証書にもとづく債権差押	建物収去土地明渡請求事件の和解調書に基づく代替執行	家事調停調書に基づく間接強制
第１８問	次の執行文の付与申立ての際に，債務名義以外に特に資料等が必要ないものはどれか。	1	3		「被告の父甲が死亡したときは，１年以内に被告は原告に対して本件建物を明け渡す。」という和解条項についての執行文。	「原告が第１項の金員を支払うことを条件に，被告は別紙物件目録記載の不動産につき原告に対し，真正なる登記名義の回復を原因として所有権移転登記手続きをする。」という和解条項についての執行文。	「被告が第３項の分割金の支払いを２回以上怠った時は，被告は期限の利益を喪失し，原告に対し残額全額を直ちに支払う。」という和解条項についての執行文。	給付判決が確定したが，被告が死亡したのでその相続人に対し強制執行をする場合に必要となる執行文。
第１９問	判決確定後に債務者の給与債権に対する債権差押命令申立を準備したところ，債務者が転居していることが判明した。債務名義である判決はＡ地方裁判所で言い渡され，判決に表示された債務者の住所はＢ地方裁判所の管轄，債務者の現住所はＣ地方裁判所の管轄，第三債務者の会社の本店所在地はＤ地方裁判所の管轄である場合に，債権差押命令申立の管轄として正しいものはどれか。	1	3		Ａ地方裁判所	Ｂ地方裁判所	Ｃ地方裁判所	Ｄ地方裁判所
第２０問	債権執行における転付命令に関する次の記述のうち，正しいものはどれか。	1	3		転付命令が第三債務者に送達されると，債務者の第三債務者に対する債権である差押債権は，直接債権者に帰属することになる。	転付命令は発せられた後は取り下げすることができない。	将来発生する債権に対しては，差押えは可能であるが，転付命令は発せられない。	債権差押命令が送達され第三債務者からの陳述書が届いてから新たに転付命令の申立てをすることも可能であるが，差押命令を取り下げないと競合してしまうことになるので効力は生じない。
第２１問	次の民事執行手続のうち，申立てがなされても執行が開始できないものはどれか。	1	1	２も正解である	引換給付の立退料の支払いが未了の場合の建物明渡し強制執行。	１年前に対象不動産の所有者が死亡しているが相続登記が未了の場合の不動産強制競売。	債務名義である判決の送達が公示送達で債務者の所在が不明の場合の債権執行。	所有者に対し破産手続開始決定がなされた場合の担保不動産競売。
第２２問	次の執行方法についての記述のうち，誤っているものはどれか。	1	3		「マンション内で犬を飼育してはならない」という確定判決にもかかわらず，相手方がこれを守らない場合は，間接強制による執行が可能である。	「子どもを引き渡す」という内容の調停が成立したにもかかわらず，相手方が引渡しを履行しない場合は，事案によって間接強制のほか直接強制も可能である。	「建物を収去し土地を明け渡せ」という確定判決による義務を履行しない場合は，代替執行により実現ができるので間接強制ができない。	「別紙不動産につき所有権移転登記手続きをせよ」という確定判決による義務を履行しない場合は，意思表示の擬制により単独で登記手続きをすることにより権利を実現する。
第２３問	次の戸籍の届出のうち，創設的届出にあたるものはどれか。	1	2		出生届	婚姻届	調停離婚届	死亡届
第２４問	弁護士の職務上請求による戸籍謄本の申請用紙の記載内容として適切でないものはどれか。	1	4		民事訴訟の受任事件名及び利用目的を具体的に記載し，依頼者名は記載しない。	刑事事件の弁護人としての請求である旨及び利用目的を記載し，被疑者・被告人名は記載しない。	相続手続の代理業務を受任し，相続関係確認のための請求である旨を記載し，依頼者名を記載する。	相続手続の代理業務を受任し，相続登記申請のために法務局に提出する旨を記載し，依頼者名は記載しない。
第２５問	現行制度のもとでの戸籍の編製に関する次の記述のうち，誤っているものはどれか。	1	2		婚姻により新たに戸籍が編製される場合は夫婦のどちらが筆頭者となってもよいが，筆頭者となる者の氏で戸籍が編製される。	親の戸籍に入っている未婚の子が出産した場合には，３代戸籍は禁止されているので原則として生まれた子のみの新たに戸籍が編製される。	婚姻で氏を改めた者が，離婚の際に離婚届と共に離婚の際に称していた氏を称する届出をした場合には，婚姻時の氏で新たな戸籍が編製される。	婚姻で氏を改めた者は，離婚の際には原則として元の氏に復するが，元の戸籍が除籍になっている場合には新たな戸籍が編製される。
第２６問	不動産登記関係の証明書等に関する次の記述のうち，誤っているものはどれか。	1	2		不動産登記事項証明書の申請は誰でもできる。	不動産登記申請書及び附属書類については，保存期間内であれば利害関係を明らかにして写しを申請することができる。	不動産登記法１４条に定める地図が整備されていない場合には，公図の写しを申請することができる。	コンピュータ化により閉鎖された不動産登記簿の謄本は，閉鎖年月日がわからなくても申請することができる。
第２７問	不動産登記申請の際の添付書類と登記簿上の住所に関する次の記述のうち適切でないものはどれか。	1	4		所有権移転登記の権利者は住所を証する書面を添付するので，新たな所有者となった者の登記簿上の住所は，所有権移転登記申請時の住民票上の住所と推認できる。	売買を原因とした所有権移転登記の義務者は印鑑証明書を添付するので，前所有者の登記簿上の住所は，所有権移転登記申請時の住民票上の住所と推認できる。	抵当権の設定登記の権利者となった会社は代表者の資格証明書を添付するので，登記簿上の住所は，抵当権設定登記申請時の商業登記簿上の本店所在地であると推認できる。	抵当権の設定登記の権利者となった自然人は住所を証する書面を添付するので，登記簿上の住所は，抵当権設定登記申請時の住民票上の住所であると推認できる。
第２８問	次のうち，訴訟における会社の代表者とはならないものはどれか。	1	1		株式会社の支配人	委員会設置の株式会社の代表執行役	特例有限会社の取締役	代表取締役が複数いる株式会社の社長でない代表取締役
第２９問	次のうち現在新たに，会社や法人として登記できないものはどれか。	1	2		区分所有マンションの管理組合	有限会社	外国会社	労働組合
第３０問	供託金の払渡請求をする場合に請求者の印鑑証明書の添付を省略できないのはどれか。	1	3		自然人が供託原因が消滅した証明書を添付して払渡請求する場合。	法人が，供託時に確認請求した委任状を添付して，それと同一の代表者の同一の印を払渡請求書または委任状に押印して払渡請求する場合。	供託時と同じ代理人が，供託時に確認請求した委任状と自分の印鑑証明書を添付して払渡請求する場合。	自然人が運転免許証を提示して払渡請求する場合。
第３１問	家事調停事件と人事訴訟の関係についての次の記述のうち，誤っているものはどれか。	1	3		人事訴訟法第２条に定める事件は，訴訟提起の前に家事調停を申し立てるのが原則となっている。	人事訴訟法第２条に定める事件のうち離婚と離縁を除く事件は，調停申立がなされ合意が形成されても調停成立によって終了させることはできない。	離婚及び離縁は一般調停事件なので，調停が不成立となった場合は審判はできず，人事訴訟により解決するしか方法はない。	別表第二調停事件は調停が不成立となった場合でも人事訴訟を提起することはできない。
第３２問	家事審判事件，家事調停事件の当事者による記録の閲覧・謄写請求に関する次の記述のうち，も適切なものはどれか。	1	4		家事調停事件，家事審判事件とも，制限事由がない限り裁判所の許可なく閲覧・謄写請求ができる。	家事調停事件は，裁判所の許可した部分のみ閲覧・謄写請求ができるが，家事審判事件は，制限事由がない限り裁判所の許可なく閲覧・謄写請求ができる。	家事調停事件は，裁判所の許可した部分のみ閲覧・謄写請求ができるが，家事審判事件は，事実調査部分のみ許可が必要で，それ以外は裁判所の許可なく閲覧・謄写請求ができる。	家事審判事件，家事調停事件とも閲覧・謄写に裁判所の許可が必要であるが，家事審判事件は，制限事由がない限り裁判所は原則として許可しなければならない。
第３３問	家事事件手続代理人の委任状についての次の記述のうち誤っているものはどれか。	1	1		家事事件の手続代理人の代理権については民事訴訟法が準用されるので，通常訴訟の訴訟委任状の表題を手続代理委任状と書き換えればよい。	家事事件の手続代理人は，代理権限を証明する書面を裁判所に提出する必要がある。	家事事件の手続代理人が家事審判及び家事調停の申立てを取下げする場合には，申立人による特別の委任が必要となる。	家事事件の手続代理人は，委任を受けた事件についての強制執行及び保全処分に関する行為をし，弁済を受領することができる。
第３４問	離婚訴訟の管轄に関する次の記述のうち， も適切なものはどれか。	1	4		被告の住所地を管轄する家庭裁判所の専属管轄となる。	当事者双方の住所地を管轄する家庭裁判所の専属管轄なので，その他の裁判所では行うことができない。	原則として当事者双方の住所地を管轄する家庭裁判所の管轄であるが，当事者の合意があれば他の家庭裁判所にも合意管轄が生じる。	原則として当事者の住所地を管轄する家庭裁判所の管轄であるが，離婚の調停を行った家庭裁判所でも認められることがある。
第３５問	原告が被告に対して，①離婚，②１００万円の慰謝料請求，③５００万円の財産分与，④子ども（１人）について原告を親権者とする指定，⑤１か月当たり３万円の養育費支払い，⑥年金分割１件，を求めて訴えを提起した場合の訴額と手数料の額として正しいものは，次のうちのどれか。	1	1		訴額１６０万円とし，その印紙額に３６００円を加える。	訴額１６０万円とし，その印紙額に４８００円を加える。	訴額２６０万円とし，その印紙額に４８００円を加える。	訴額５００万円とし，その印紙額に３６００円を加える。
第３６問	婚姻費用の請求の家事調停事件で，相手方は申立人に対して，１か月１５万円を支払う内容の調停が成立したが，相手方が支払いをしない。相手方に対し債権執行を申し立てることになったが，次の記述のうち誤っているものはどれか。	1	4		この場合調停調書に執行文付与は必要ない	銀行預金を差押えする場合は，すでに支払期が過ぎている分の婚姻費用しか請求できない。	給料債権を差押えする場合に，法定控除額を差し引いた毎月の給料額が３０万円を超えていれば，毎月１５万円を継続的に差し押さえることができる。	１０か月分の未払額の合計１５０万円を請求債権として退職金を差し押さえたが，退職金が４００万円の場合は，１００万円までしか差押えできない。
第３７問	離婚の届出に関する次の記述のうち，誤っているものはどれか。	1	1		判決による離婚の届出には，判決正本と確定証明書を添付する必要がある。	判決による離婚は確定の日から，調停離婚や和解離婚は成立の日から，１０日以内に届出をする必要がある。	判決による離婚では，届出期間に届出ができるのは原告のみであり，被告は届出期間が経過した後でなければ届出ができない。	協議離婚の届出には届出期間はない。
第３８問	離婚と子についての次の記述のうち，誤っているものはどれか。	1	2		離婚に際し未成年の子がいる場合には，必ず父母のどちらかを親権者として定めなければならない。	離婚の届出の際に子を父母のどちらの戸籍に入れるかを届出することができる。	子の養育費については，離婚の際に決めなくても後から決めることもできる。	父母の離婚後に子が氏を変更したい場合には，１５歳以上であれば自ら家庭裁判所に「子の氏の変更許可の申立て」をすることができる。
第３９問	被相続人Ａが平成２６年に死亡した。Ａには配偶者ＢとＢとの間の子であるＣ及びＤがいる。また，Ｅとの間に婚姻外の子Ｆがいて認知している。ＤはＡより先に平成２１年に死亡しており，Ｄには配偶者ＧとＧとの間の子Ｈがいる。これ以外の関係者は考慮しないで良いものとすると，Ａの相続人の組み合わせとして正しいものはどれか。	1	3		Ｂ，Ｃ，Ｆ	Ｂ，Ｃ，Ｇ，Ｈ	Ｂ，Ｃ，Ｆ，Ｈ	Ｂ，Ｃ，Ｆ，Ｇ，Ｈ
第４０問	上記の例で，Ｃの法定相続分はどれか。	1	4		３分の１	４分の１	５分の１	６分の１
第４１問	相続に関する次の記述のうち，誤ったものはどれか。	1	2		胎児は生きて生まれた場合のみ相続人となる。	内縁の妻にも相続権が生じることがある。	特別養子となった子は，実親が死亡した場合にその相続人とならない。	片親が異なる兄弟姉妹の相続分は両親が共通する兄弟姉妹の相続分の２分の１となる。
第４２問	遺産分割についての記述で，誤っているものは次のどれか。	1	2		遺産分割には遡及効があるので，相続開始時に遡って遺産分割と同様の財産承継があったものとみなされる。	遺産分割で一人の相続人が全ての財産を相続することに決めた場合には，債務もその相続人が相続するので，被相続人の債権者は，他の相続人には請求できない。	特別受益者が「相続分のないことの証明書」に実印を押印し印鑑証明書を提出している場合には，その者が遺産分割協議に参加していなくても有効である。	相続人に未成年の子がいて，その親権者も相続人である場合に遺産分割協議をするには，家庭裁判所に未成年者の特別代理人を選任してもらう必要がある。
第４３問	次の財産のうち，通常相続財産に含まれないものはどれか。ただし，税法上の問題は考えないこととする。	1	1		死亡退職金	被相続人が事故で死亡した場合の損害賠償請求権	受取人が被相続人となっている生命保険の保険金	借金
第４４問	遺留分についての次の記述のうち，誤っているのはどれか。	1	4		兄弟姉妹には遺留分はない。	相続放棄した者は遺留分はない。	遺留分権者がいる場合，相続人が直系尊属のみの場合の遺留分は３分の１だが，それ以外は常に２分の１となる。	遺留分は被相続人が相続開始の時に有していた財産の価額により算定する。
第４５問	成年後見等の申立てと開始に関する次の記述のうち，誤っているものはどれか。	1	1		本人以外による成年後見，保佐，補助の申立ての場合，開始には本人の同意は必要ない。	本人，配偶者以外に，４親等内の親族も成年後見等の申立てをすることができる。	成年後見等の申立ては，後見等開始の審判前であっても裁判所の許可がないと取り下げすることはできない。	成年後見等の申立ての管轄は，本人の住所地を管轄する家庭裁判所となる。
第４６問	債務整理の代理人としての受任通知に関する次の記述のうち，適切とは言えないものはどれか。	1	4		受任通知には，貸金業者が直接本人に取り立てすることを禁止する効果がある。	貸金業者に対する受任通知では，全ての取引経過の開示を請求する。	依頼者が住所を変更している場合には，現住所のほか，変更前の住所も記載した方がよい。	受任したら速やかに判明している全ての債権者に対し一斉に発送しなければならない。
第４７問	貸金業者に対し過払金返還を求める不当利得返還請求の訴状に関する次の記述のうち，誤っているものはどれか。	1	2		悪意の受益者である旨を主張して過払金元金に５％の利息を付して請求することができる。	過払金１１５万円と利息６万８２５０円の合計１２１万８２５０円の支払いを求める場合には，訴額は合計した金額になる。	管轄は通常被告である貸金業者の本店所在地，取引のあった営業所所在地，原告の住所地のそれぞれを管轄する裁判所から選択することができる。	１通の訴状で複数の貸金業者に対する訴訟を提起することもできる。
第４８問	自然人の破産手続開始の申立てに関する次の記述のうち，誤っているものはどれか。	1	3		自然人が破産手続開始の申立てをすれば，原則として同時に免責許可の申立てをしたものとみなされる。	自然人の破産手続開始の要件は「支払不能」であり，「支払停止」をしたときは支払不能にあるものと推定される。	自然人の破産手続開始は債務者本人が申し立てる必要がある。	自然人の破産手続開始の申立ての管轄は，原則として債務者の住所地を管轄する地方裁判所になる。
第４９問	免責手続に関する次の記述のうち，誤っているものはどれか。	1	4		免責不許可事由がある場合でも裁量免責がされることがある。	非免責債権がある場合でも免責許可決定が出ることがある。	免責許可決定が出ても，免責されない債権もある。	債権者名簿に記載されていない債権者に免責の効果が及ぶことはない。
第５０問	破産手続に伴う債務者の権利制限の対象となっていないものはどれか。	1	4		住所移転	通信の秘密	財産の処分	被選挙権
第５１問	破産管財人の権限に関する次の記述のうち誤っているものはどれか。	1	1		破産管財人は，破産者を当事者とする破産財団に関する訴訟のすべてを受け継ぐことができる。	破産管財人は，優先すべき財団債権を随時弁済することができる。	破産管財人は，破産者が破産手続開始決定前にした破産債権者を害する行為に対して，否認権を行使することができる。	破産管財人は，破産財団に属する不動産を放棄することができる。
第５２問	個人再生手続に関する次の記述のうち，誤っているものはどれか。	1	3		個人再生手続では， 低弁済額を 長５年間で支払うことになる。	個人再生委員は，裁判所が必要とする場合に選任される。	個人再生は，破産の免責不許可事由があると認可決定が得られない。	個人再生は自然人のみを対象とした制度である。
第５３問	住宅資金特別条項に関する次の説明のうち，誤っているものはどれか。	1	1		住宅資金特別条項は，再生債権者の有する住宅資金貸付債権の弁済額を変更する再生計画の条項のことである。	住宅に，住宅ローン債権以外の事業資金借入の抵当権が設定されている場合には，住宅資金特別条項を定めることはできない。	住宅資金特別条項は，住宅の床面積の２分の１以上に相当する部分が専ら自己の居住の用に供される場合でないと定めることができない。	再生計画認可の決定が確定する前でも，弁済許可の申立てをして，住宅ローンを払い続けることができる。
第５４問	刑事事件の記録の閲覧・謄写に関する次の記述のうち，誤っているものはどれか。	1	4		起訴後第１回公判前の段階では，記録は，検察庁でのみ閲覧・謄写することができる。	第１回公判後，弁護人が同意して取り調べられた記録は，裁判所で閲覧・謄写することができる。	第１回公判後，弁護人が同意せず，取り調べられなかった記録は，検察庁で閲覧・謄写することができる。	判決確定後の記録の閲覧・謄写は，第一審裁判所ですることができる。
第５５問	保釈請求手続きについての次の記述のうち正しいものはどれか。	1	3		被疑者段階でも保釈請求することはできる。	保釈請求は，本人または弁護人しか行うことはできない。	保釈請求の際には，身元引受人による「身柄引受書」を提出する。	保釈保証金は法務局に供託する。
第５６問	刑事事件における弁護人選任届の提出に関する次の記述のうち誤っているものはどれか。	1	1		逮捕後検察官送致前の弁護活動については，弁護人選任届提出の必要はない。	検察官に送致された後起訴されるまでは検察庁に提出する。	起訴された後は裁判所に提出する。	被疑者段階で弁護人選任届を提出していれば，被告人となった後に改めて提出する必要はない。
第５７問	刑事事件第一審の判決が平成２７年６月２日(火)に言い渡され，判決書謄本を同年６月４日(木)に受領した。控訴期限として正しいものは次のうちどれか。	1	2		平成２７年６月１５日（月）まで	平成２７年６月１６日（火）まで	平成２７年６月１７日（水）まで	平成２７年６月１８日（木）まで
第５８問	少年事件に関する次の記述のうち，誤っているものはどれか。	1	4		犯罪少年事件は，すべて家庭裁判所に送致される。	少年事件において付添人となるのは弁護士に限られない。	犯罪行為をしていない少年も家庭裁判所に送致されることがある。	付添人は，少年事件記録の法律記録及び社会記録を閲覧・謄写することができる。
第５９問	弁護士の守秘義務に関する次の記述のうち，正しいものはどれか。	1	2		弁護士の守秘義務は倫理上の問題なので懲戒事由にはなるが，他の法的責任は問われない。	弁護士の守秘義務は，訴訟で証人となった場合に証言を拒絶する正当な理由となる。	弁護士が守秘義務に違反した場合でも刑事上の責任を問われることはない。	弁護士の守秘義務は弁護士についてのものなので，事務職員には関わりはない。
第６０問	弁護士が職務を行い得ない事件に関する次の記述のうち，誤っているものはどれか。	1	3		終了した事件の相手方から頼まれた別の事件について依頼を受けることはできる。	３年前に法律相談を受けた事案について，相談者の相手方からの事件依頼を受けることはできない。	同一事務所の他の弁護士の依頼者の係属中の事件の相手方から，別の事件を依頼された場合は，依頼者両方の同意があっても受任することはできない。	同一事務所の他の弁護士の顧問先を相手方とする事件は，原則として受任することはできない。
								
